K439	MN	2019	PRJNA279196	SAMN12912184		SRR10247384
K439	MN	2019	PRJNA279196	SAMN12912184		SRR10247384
K444	MN	2019	PRJNA279196	SAMN12305721		SRR9718380
K447	MN	2019	PRJNA279196	SAMN12305724		SRR9718349
K511	MN	2019	PRJNA279196	SAMN12912225		
K516	MN	2019	PRJNA279196	SAMN12912230		
K521	MN	2019				
K526	MN	2019				
K531	MN	2019				
K536	MN	2019				
K541	MN	2019				
K546	MN	2019				
K552	MN	2019				
K557	MN	2019				
K562	MN	2019				
K567	MN	2019				
D919	NY	2002	PRJNA279196	SAMN08136969	CP025355	SRR9006113
D925	NY	2002	PRJNA279196	SAMN05583848	CP016968	SRR9006114
E976	NY	2005	PRJNA279196	SAMN03455339	CP011175	SRR5070765,SRR5070887,SRR5826167,SRR5826168
F501	NY	2004	PRJNA279196	SAMN04383561	CP013870	SRR5070723,SRR5070826,SRR5712543
H709	NY	2010	PRJNA279196	SAMN08136982	CP025364	SRR9006187
H710	NY	2010	PRJNA279196	SAMN03464272	CP011236	SRR5070800,SRR5070863,SRR5833675,SRR5833687
H765	NY	2011	PRJNA279196	SAMN03455356	CP011192	SRR5070753,SRR5071026,SRR5829355,SRR5829361
H766	NY	2011	PRJNA279196	SAMN03702621	CP011699	SRR5070760,SRR5829347,SRR5829357
H767	NY	2011	PRJNA279196	SAMN11821657		SRR9123648
H768	NY	2011	PRJNA279196	SAMN03702622	CP011700	SRR5070776,SRR5829353,SRR5829356
H769	NY	2011	PRJNA279196	SAMN11821658		SRR9123593
H847	NY	2011	PRJNA279196	SAMN03702628	CP011706	SRR5070871,SRR5829410,SRR5829719
H849	NY	2011	PRJNA279196	SAMN03702629	CP011707	SRR5070729,SRR5071088,SRR5829727,SRR5829728
H897	NY	2012	PRJNA279196	SAMN11821691		SRR9123509
H898	NY	2012	PRJNA279196	SAMN11821692		SRR9123506
H899	NY	2012	PRJNA279196	SAMN11821693		SRR9123507
H901	NY	2012	PRJNA279196	SAMN11821694		SRR9123504
H902	NY	2011	PRJNA279196	SAMN08136987	CP025363	SRR9006204
I114	NY	2012	PRJNA279196	SAMN11821870		SRR9131319
I115	NY	2012	PRJNA279196	SAMN11821871		SRR9131457
I116	NY	2012	PRJNA279196	SAMN11821872		SRR9131456
I117	NY	2012	PRJNA279196	SAMN11821873		SRR9131455
I118	NY	2012	PRJNA279196	SAMN11821874		SRR9131454
I120	NY	2012	PRJNA279196	SAMN08136988	CP025370	SRR9006206
I122	NY	2012	PRJNA279196	SAMN11821875		SRR9131461
I123	NY	2012	PRJNA279196	SAMN11821876		SRR9131460
I255	NY	2012	PRJNA279196	SAMN11821969		SRR9131309
I256	NY	2012	PRJNA279196	SAMN11821970		SRR9131310
I257	NY	2012	PRJNA279196	SAMN03702646	CP011724	SRR5070948,SRR5071034,SRR5838384,SRR5838387
I258	NY	2012	PRJNA279196	SAMN11821971		SRR9131341
I259	NY	2012	PRJNA279196	SAMN03877221	CP012133	SRR5070743,SRR5071075,SRR5838395,SRR5838396,SRR5838397
I260	NY	2012	PRJNA279196	SAMN11821972		SRR9131340
I261	NY	2012	PRJNA279196	SAMN11821973		SRR9131343
I262	NY	2012	PRJNA279196	SAMN11821974		SRR9131342
I263	NY	2012	PRJNA279196	SAMN03702647	CP011725	SRR5070661,SRR5070748,SRR5839530,SRR5839533
I264	NY	2012	PRJNA279196	SAMN11821975		SRR9131345
I266	NY	2012	PRJNA279196	SAMN11821976		SRR9131344
I268	NY	2012	PRJNA279196	SAMN11821977		SRR9131347
I269	NY	2012	PRJNA279196	SAMN11821978		SRR9131346
I270	NY	2012	PRJNA279196	SAMN03702648	CP011726	SRR5070766,SRR5071072,SRR5839522,SRR5839528
I271	NY	2012	PRJNA279196	SAMN03702649	CP011727	SRR5070734,SRR5071021,SRR5839525,SRR5839531
I272	NY	2012	PRJNA279196	SAMN11821979		SRR9131339
I273	NY	2012	PRJNA279196	SAMN03702650	CP011728	SRR5071020,SRR5071029,SRR5839534
I274	NY	2012	PRJNA279196	SAMN11821980		SRR9131338
I275	NY	2012	PRJNA279196	SAMN11821981		SRR9131468
I277	NY	2012	PRJNA279196	SAMN11821982		SRR9131469
I278	NY	2012	PRJNA279196	SAMN11821983		SRR9131470
I279	NY	2012	PRJNA279196	SAMN11821984		SRR9131471
I280	NY	2012	PRJNA279196	SAMN11821985		SRR9131472
I281	NY	2012	PRJNA279196	SAMN11821986		SRR9131473
I445	NY	2012	PRJNA279196	SAMN11822086		SRR9131462
I446	NY	2012	PRJNA279196	SAMN11822087		SRR9131322
I447	NY	2012	PRJNA279196	SAMN11822088		SRR9131453
I448	NY	2012	PRJNA279196	SAMN11822089		SRR9131363
I449	NY	2012	PRJNA279196	SAMN11822090		SRR9131362
I450	NY	2012	PRJNA279196	SAMN11822091		SRR9131331
I451	NY	2012	PRJNA279196	SAMN11822092		SRR9131332
I452	NY	2012	PRJNA279196	SAMN03702661	CP011739	SRR5070856,SRR5070873,SRR5856171,SRR5856174
I453	NY	2012	PRJNA279196	SAMN11822093		SRR9131333
I454	NY	2012	PRJNA279196	SAMN11822094		SRR9131334
I755	NY	2013	PRJNA279196	SAMN03702666	CP011744	SRR5070994,SRR5071083,SRR5851804,SRR5851807,SRR5851814
I756	NY	2013	PRJNA279196	SAMN11822126		SRR9118275
I757	NY	2013	PRJNA279196	SAMN11822127		SRR9118276
I758	NY	2013	PRJNA279196	SAMN11822128		SRR9118277
I759	NY	2013	PRJNA279196	SAMN11822129		SRR9118278
I760	NY	2013	PRJNA279196	SAMN11822130		SRR9118279
I761	NY	2013	PRJNA279196	SAMN11822131		SRR9118280
